"","colnames.all_data."
"1","Date"
"2","Season"
"3","Round"
"4","Venue"
"5","Player"
"6","Team"
"7","Opposition"
"8","Status"
"9","Match_id"
"10","Contested_possessions"
"11","Uncontested_possessions"
"12","Effective_disposals"
"13","Disposal_efficiency"
"14","Contested_marks"
"15","Goal_assists"
"16","Marks_inside_50"
"17","One_percenters"
"18","Bounces"
"19","Time_on_ground"
"20","Kicks"
"21","Handballs"
"22","Disposals"
"23","Marks"
"24","Goals"
"25","Behinds"
"26","Tackles"
"27","Hitouts"
"28","Inside_50s"
"29","Clearances"
"30","Clangers"
"31","Rebound_50s"
"32","Frees_for"
"33","Frees_against"
"34","AF"
"35","SC"
"36","Centre_clearances"
"37","Stoppage_clearances"
"38","Score_involvements"
"39","Metres_gained"
"40","Turnovers"
"41","Intercepts"
"42","Tackles_inside_50"
"43","Round_type"
"44","Margin"
"45","Team_behinds"
"46","Team_goals"
"47","Team_points"
"48","Outcome"
"49","Num_Votes"
"50","Position"
"51","DOB"
"52","AA_team"
"53","AA_squad"
"54","AFL_player_top_50_rank"
"55","AFL_player_top_50_flag"
"56","Prev_season_team_BR_rank"
"57","Prev_season_BR_rank"
"58","Prev_season_top_5_BR_rank"
"59","Prev_season_top_10_BR_rank"
"60","Prev_season_top_20_BR_rank"
"61","Prev_season_top_30_BR_rank"
"62","Prev_season_top_50_BR_rank"
"63","Player_age"
"64","Prev_season_AA_team"
"65","Prev_season_AA_squad"
"66","Prev_season_AFL_player_top_50_flag"
"67","Prev_season_AFL_player_top_50_rank"
"68","Match_SC_rank"
"69","Team_SC_rank"
"70","Season_SC_rank"
"71","Match_AF_rank"
"72","Team_AF_rank"
"73","Season_AF_rank"
"74","Match_CP_rank"
"75","Team_CP_rank"
"76","Season_CP_rank"
"77","Match_UP_rank"
"78","Team_UP_rank"
"79","Season_UP_rank"
"80","Match_D_rank"
"81","Team_D_rank"
"82","Season_D_rank"
"83","Match_ED_rank"
"84","Team_ED_rank"
"85","Season_ED_rank"
"86","Match_K_rank"
"87","Team_K_rank"
"88","Season_K_rank"
"89","Match_H_rank"
"90","Team_H_rank"
"91","Season_H_rank"
"92","Match_M_rank"
"93","Team_M_rank"
"94","Season_M_rank"
"95","Match_G_rank"
"96","Team_G_rank"
"97","Season_G_rank"
"98","Prop_goals"
"99","Player_id"
"100","First_season"
"101","Num_seasons"
"102","Prev_season_more_than_5_BR"
"103","Prev_season_more_than_10_BR"
"104","Prev_season_more_than_15_BR"
"105","Prev_season_more_than_20_BR"
"106","Games_played"
"107","Games_polled"
"108","Total_Votes"
"109","Num_AA_team"
"110","Num_AA_squad"
"111","Num_AFL_top_50"
"112","Avg_AA_team"
"113","Avg_AA_squad"
"114","Num_season_more_than_5_BR"
"115","Num_season_more_than_10_BR"
"116","Num_season_more_than_15_BR"
"117","Num_season_more_than_20_BR"
"118","Total_Votes_since_2012"
"119","Avg_games_polled"
"120","Num_season_since_2014"
"121","Avg_AFL_top_50"
"122","Prev_season_avg_games_polled"
"123","Prev_season_total_votes_since_2012"
"124","Prev_season_avg_votes_per_seasons_since_2012"
"125","Prev_season_total_BR_votes"
"126","Record_id"
