,x
1,venue_name
2,match_id
3,match_home_team
4,match_away_team
5,match_date
6,match_local_time
7,match_attendance
8,match_round
9,match_home_team_goals
10,match_home_team_behinds
11,match_home_team_score
12,match_away_team_goals
13,match_away_team_behinds
14,match_away_team_score
15,match_margin
16,match_winner
17,match_weather_temp_c
18,match_weather_type
19,player_id
20,player_first_name
21,player_last_name
22,player_height_cm
23,player_weight_kg
24,player_is_retired
25,player_team
26,guernsey_number
27,kicks
28,marks
29,handballs
30,disposals
31,effective_disposals
32,disposal_efficiency_percentage
33,goals
34,behinds
35,hitouts
36,tackles
37,rebounds
38,inside_fifties
39,clearances
40,clangers
41,free_kicks_for
42,free_kicks_against
43,brownlow_votes
44,contested_possessions
45,uncontested_possessions
46,contested_marks
47,marks_inside_fifty
48,one_percenters
49,bounces
50,goal_assists
51,time_on_ground_percentage
52,afl_fantasy_score
53,supercoach_score
54,centre_clearances
55,stoppage_clearances
56,score_involvements
57,metres_gained
58,turnovers
59,intercepts
60,tackles_inside_fifty
61,contest_def_losses
62,contest_def_one_on_ones
63,contest_off_one_on_ones
64,contest_off_wins
65,def_half_pressure_acts
66,effective_kicks
67,f50_ground_ball_gets
68,ground_ball_gets
69,hitouts_to_advantage
70,hitout_win_percentage
71,intercept_marks
72,marks_on_lead
73,pressure_acts
74,rating_points
75,ruck_contests
76,score_launches
77,shots_at_goal
78,spoils
79,subbed
80,player_position
81,date
82,season
83,margin
84,match_outcome
85,player_opposition
86,team_goals
87,team_behinds
88,team_score
89,player_name
90,games_played
91,games_polled
92,three_vote_games
93,two_vote_games
94,one_vote_games
95,total_votes
96,AA_team
97,AA_squad
